"Destination","Year","Total","Latitude","Longitude","code"
"United Kingdom",2007,2815,55.378051,-3.435973,"GBR"
"United States",2007,101,37.09024,-95.712891,"USA"
"Australia",2008,78,-25.274398,133.775136,"AUS"
"Austria",2008,1382,47.516231,14.550072,"AUT"
"Belgium",2008,879,50.503887,4.469936,"BEL"
"Bulgaria",2008,55,42.733883,25.48583,"BGR"
"Canada",2008,408,56.130366,-106.346771,"CAN"
"Croatia",2008,1,45.1,15.2,"HRV"
"Cyprus",2008,33,35.126413,33.429859,"CYP"
"Czech Republic",2008,28,49.817492,15.472962,"CZE"
"Denmark",2008,418,56.26392,9.501785,"DNK"
"Finland",2008,249,61.92411,25.748151,"FIN"
"France",2008,263,46.227638,2.213749,"FRA"
"Germany",2008,650,51.165691,10.451526,"DEU"
"Greece",2008,2287,39.074208,21.824312,"GRC"
"Hungary",2008,116,47.162494,19.503304,"HUN"
"Iceland",2008,5,64.963051,-19.020835,"ISL"
"Ireland",2008,79,53.41291,-8.24389,"IRL"
"Italy",2008,2005,41.87194,12.56738,"ITA"
"Japan",2008,4,36.204824,138.252924,"JPN"
"Latvia",2008,10,56.879635,24.603189,"LVA"
"Lithuania",2008,1,55.169438,23.881275,"LTU"
"Luxembourg",2008,4,49.815273,6.129583,"LUX"
"Macedonia [FYROM]",2008,6,41.608635,21.745275,"MKD"
"Montenegro",2008,1,42.708678,19.37439,"MNE"
"Netherlands",2008,395,52.132633,5.291266,"NLD"
"New Zealand",2008,2,-40.900557,174.885971,"NZL"
"Norway",2008,1320,60.472024,8.468946,"NOR"
"Poland",2008,4,51.919438,19.145136,"POL"
"Portugal",2008,1,39.399872,-8.224454,"PRT"
"Romania",2008,5,45.943161,24.96676,"ROU"
"Slovakia",2008,75,48.669026,19.699024,"SVK"
"Slovenia",2008,10,46.151241,14.995463,"SVN"
"Spain",2008,50,40.463667,-3.74922,"ESP"
"Sweden",2008,784,60.128161,18.643501,"SWE"
"Switzerland",2008,382,46.818188,8.227512,"CHE"
"Turkey",2008,2642,38.963745,35.243322,"TUR"
"United Kingdom",2008,3731,55.378051,-3.435973,"GBR"
"United States",2008,73,37.09024,-95.712891,"USA"
"Australia",2009,1370,-25.274398,133.775136,"AUS"
"Austria",2009,2237,47.516231,14.550072,"AUT"
"Belgium",2009,1228,50.503887,4.469936,"BEL"
"Bulgaria",2009,58,42.733883,25.48583,"BGR"
"Canada",2009,410,56.130366,-106.346771,"CAN"
"Croatia",2009,25,45.1,15.2,"HRV"
"Cyprus",2009,49,35.126413,33.429859,"CYP"
"Czech Republic",2009,4,49.817492,15.472962,"CZE"
"Denmark",2009,1059,56.26392,9.501785,"DNK"
"Estonia",2009,9,58.595272,25.013607,"EST"
"Finland",2009,461,61.92411,25.748151,"FIN"
"France",2009,688,46.227638,2.213749,"FRA"
"Germany",2009,3375,51.165691,10.451526,"DEU"
"Greece",2009,1510,39.074208,21.824312,"GRC"
"Hungary",2009,1194,47.162494,19.503304,"HUN"
"Iceland",2009,2,64.963051,-19.020835,"ISL"
"Ireland",2009,68,53.41291,-8.24389,"IRL"
"Italy",2009,620,41.87194,12.56738,"ITA"
"Japan",2009,5,36.204824,138.252924,"JPN"
"Latvia",2009,18,56.879635,24.603189,"LVA"
"Liechtenstein",2009,2,47.166,9.555373,"LIE"
"Lithuania",2009,8,55.169438,23.881275,"LTU"
"Luxembourg",2009,13,49.815273,6.129583,"LUX"
"Macedonia [FYROM]",2009,71,41.608635,21.745275,"MKD"
"Netherlands",2009,1281,52.132633,5.291266,"NLD"
"New Zealand",2009,1,-40.900557,174.885971,"NZL"
"Norway",2009,3802,60.472024,8.468946,"NOR"
"Poland",2009,14,51.919438,19.145136,"POL"
"Romania",2009,87,45.943161,24.96676,"ROU"
"Serbia",2009,235,44.016521,21.005859,"SRB"
"Slovakia",2009,51,48.669026,19.699024,"SVK"
"Slovenia",2009,11,46.151241,14.995463,"SVN"
"South Korea",2009,8,35.907757,127.766922,"KOR"
"Spain",2009,43,40.463667,-3.74922,"ESP"
"Sweden",2009,1694,60.128161,18.643501,"SWE"
"Switzerland",2009,719,46.818188,8.227512,"CHE"
"Turkey",2009,1009,38.963745,35.243322,"TUR"
"United Kingdom",2009,3533,55.378051,-3.435973,"GBR"
"United States",2009,130,37.09024,-95.712891,"USA"
"Australia",2010,3129,-25.274398,133.775136,"AUS"
"Austria",2010,1582,47.516231,14.550072,"AUT"
"Belgium",2010,1124,50.503887,4.469936,"BEL"
"Bosnia and Herzegovina",2010,11,43.915886,17.679076,"BIH"
