Destination,Year,Total,Latitude,Longitude,code
Macedonia [FYROM],2014,389,21.745275,41.608635,MKD
Montenegro,2014,12,19.37439,42.708678,MNE
Netherlands,2014,452,5.291266,52.132633,NLD
New Zealand,2014,9,174.885971,-40.900557,NZL
Norway,2014,549,8.468946,60.472024,NOR
Poland,2014,31,19.145136,51.919438,POL
Portugal,2014,2,-8.224454,39.399872,PRT
Romania,2014,277,24.96676,45.943161,ROU
Serbia,2014,3017,21.005859,44.016521,SRB
Slovakia,2014,76,19.699024,48.669026,SVK
Slovenia,2014,71,14.995463,46.151241,SVN
South Korea,2014,21,127.766922,35.907757,KOR
Spain,2014,98,-3.74922,40.463667,ESP
Sweden,2014,2882,18.643501,60.128161,SWE
Switzerland,2014,727,8.227512,46.818188,CHE
Turkey,2014,15652,35.243322,38.963745,TUR
United Kingdom,2014,1753,-3.435973,55.378051,GBR
United States,2014,277,-95.712891,37.09024,USA
Albania,2015,3,20.168331,41.153332,ALB
Australia,2015,569,133.775136,-25.274398,AUS
Austria,2015,25143,14.550072,47.516231,AUT
Belgium,2015,7562,4.469936,50.503887,BEL
Bosnia and Herzegovina,2015,6,17.679076,43.915886,BIH
Bulgaria,2015,6163,25.48583,42.733883,BGR
Canada,2015,494,-106.346771,56.130366,CAN
Croatia,2015,9,15.2,45.1,HRV
Cyprus,2015,10,33.429859,35.126413,CYP
Czech Republic,2015,24,15.472962,49.817492,CZE
Denmark,2015,2288,9.501785,56.26392,DNK
Estonia,2015,12,25.013607,58.595272,EST
Finland,2015,5198,25.748151,61.92411,FIN
France,2015,2453,2.213749,46.227638,FRA
Germany,2015,31382,10.451526,51.165691,DEU
